alpha_code,num_colors,predominant_color_name,secondary_color,color_names
ad,3,darkblue,crimson,gold|darkblue|crimson
ae,4,red,forestgreen,forestgreen|white|red|black
af,4,forestgreen,black,black|firebrick|forestgreen|white
ag,4,crimson,black,darkcyan|crimson|black|white
ai,3,midnightblue,white,midnightblue|white|crimson
al,2,red,black,red|black
am,3,orange,darkblue,orange|darkblue|red
ao,2,crimson,black,black|crimson
aq,2,royalblue,white,royalblue|white
ar,2,cornflowerblue,white,white|cornflowerblue
as,3,navy,white,navy|white|firebrick
at,2,crimson,white,crimson|white
au,3,midnightblue,white,midnightblue|white|crimson
aw,2,royalblue,gold,royalblue|gold
ax,3,teal,gold,teal|gold|crimson
az,3,darkturquoise,forestgreen,crimson|darkturquoise|forestgreen
ba,2,darkblue,gold,darkblue|gold
bb,2,midnightblue,gold,midnightblue|gold
bd,2,darkslategray,crimson,darkslategray|crimson
be,3,crimson,gold,gold|black|crimson
bf,2,seagreen,crimson,seagreen|crimson
bg,3,teal,white,teal|white|firebrick
bh,2,crimson,white,white|crimson
bi,3,white,limegreen,crimson|white|limegreen
bj,3,seagreen,gold,seagreen|gold|crimson
bl,2,white,goldenrod,white|goldenrod
bm,3,crimson,white,white|crimson|midnightblue
bn,3,gold,white,gold|white|black
bo,3,forestgreen,gold,forestgreen|gold|firebrick
bq,3,midnightblue,white,midnightblue|white|gold
br,3,forestgreen,gold,forestgreen|gold|midnightblue
bs,3,teal,black,teal|gold|black
bt,3,gold,orangered,gold|orangered|white
bv,3,crimson,midnightblue,crimson|midnightblue|white
bw,3,cornflowerblue,black,black|cornflowerblue|white
by,2,firebrick,forestgreen,firebrick|forestgreen
bz,3,darkblue,crimson,darkblue|snow|crimson
ca,2,red,white,white|red
cc,2,green,gold,gold|green
cd,3,dodgerblue,crimson,dodgerblue|crimson|gold
cf,5,gold,forestgreen,midnightblue|white|gold|crimson|forestgreen
cg,3,crimson,forestgreen,sandybrown|forestgreen|crimson
ch,2,red,white,white|red
ci,3,teal,darkorange,white|teal|darkorange
ck,3,midnightblue,white,midnightblue|white|crimson
cl,3,firebrick,white,firebrick|white|darkblue
cm,3,gold,teal,crimson|teal|gold
cn,1,orangered,orangered,orangered
co,3,gold,midnightblue,gold|midnightblue|crimson
cr,3,white,midnightblue,crimson|white|midnightblue
cu,3,darkblue,white,white|darkblue|crimson
cv,3,midnightblue,white,white|midnightblue|crimson
cw,2,midnightblue,gold,midnightblue|gold
cx,3,mediumblue,seagreen,mediumblue|seagreen|sandybrown
cy,2,white,darkgoldenrod,white|darkgoldenrod
cz,3,crimson,white,white|crimson|midnightblue
de,3,red,black,red|black|gold
dj,3,cornflowerblue,forestgreen,forestgreen|cornflowerblue|white
dk,2,crimson,white,crimson|white
dm,5,forestgreen,gold,black|gold|forestgreen|white|crimson
do,3,crimson,midnightblue,white|midnightblue|crimson
dz,2,white,darkgreen,darkgreen|white
ec,3,gold,crimson,teal|gold|crimson
ee,3,white,black,white|black|dodgerblue
eg,3,black,crimson,black|white|crimson
eh,4,black,forestgreen,white|forestgreen|firebrick|black
er,4,crimson,forestgreen,crimson|forestgreen|royalblue|gold
es,2,firebrick,gold,gold|firebrick
et,4,forestgreen,crimson,forestgreen|crimson|gold|darkslateblue
fi,2,white,midnightblue,white|midnightblue
fj,4,cornflowerblue,crimson,cornflowerblue|crimson|midnightblue|white
fk,3,midnightblue,white,white|midnightblue|crimson
fm,1,cornflowerblue,cornflowerblue,cornflowerblue
fo,3,white,crimson,white|crimson|darkcyan
fr,3,crimson,white,crimson|white|darkblue
ga,3,gold,teal,gold|teal|steelblue
gb,3,crimson,white,midnightblue|white|crimson
gd,3,crimson,gold,crimson|teal|gold
ge,2,white,red,red|white
gf,2,forestgreen,gold,forestgreen|gold
gg,3,white,crimson,white|crimson|gold
gh,3,crimson,forestgreen,forestgreen|crimson|gold
gi,2,white,red,red|white
gl,2,crimson,white,crimson|white
gm,4,darkolivegreen,crimson,darkblue|darkolivegreen|white|crimson
gn,3,crimson,teal,teal|crimson|gold
gp,3,black,darkblue,black|gold|darkblue
gq,4,crimson,forestgreen,crimson|white|forestgreen|dodgerblue
gr,2,darkcyan,white,darkcyan|white
gs,3,midnightblue,white,midnightblue|white|firebrick
gt,2,steelblue,white,white|steelblue
gu,2,midnightblue,crimson,midnightblue|crimson
gw,3,seagreen,gold,seagreen|gold|crimson
gy,4,seagreen,crimson,crimson|seagreen|gold|white
hk,2,orangered,white,orangered|white
hm,3,darkblue,white,darkblue|white|red
hn,2,dodgerblue,white,dodgerblue|white
hr,3,red,darkblue,red|white|darkblue
ht,2,darkblue,crimson,darkblue|crimson
hu,3,darkolivegreen,white,darkolivegreen|white|crimson
id,2,white,red,white|red
ie,3,seagreen,coral,seagreen|white|coral
il,2,white,mediumblue,white|mediumblue
im,1,crimson,crimson,crimson
in,3,green,coral,green|coral|white
io,3,white,midnightblue,midnightblue|white|crimson
iq,3,black,crimson,black|white|crimson
ir,3,white,red,white|red|seagreen
is,3,teal,crimson,teal|white|crimson
it,3,seagreen,crimson,seagreen|white|crimson
je,2,white,crimson,white|crimson
jm,3,gold,forestgreen,gold|forestgreen|black
jo,4,black,forestgreen,black|white|crimson|forestgreen
jp,2,white,firebrick,firebrick|white
ke,4,black,darkred,darkred|black|white|darkgreen
kg,2,red,yellow,red|yellow
kh,3,darkblue,crimson,white|darkblue|crimson
ki,4,firebrick,white,firebrick|white|midnightblue|gold
km,5,steelblue,gold,white|forestgreen|crimson|gold|steelblue
kn,4,black,seagreen,black|crimson|seagreen|gold
kp,3,crimson,teal,crimson|teal|white
kr,4,white,black,white|black|crimson|teal
kw,4,forestgreen,crimson,black|white|crimson|forestgreen
ky,3,midnightblue,white,white|midnightblue|crimson
kz,2,darkturquoise,gold,darkturquoise|gold
la,3,crimson,midnightblue,white|crimson|midnightblue
lb,3,crimson,white,crimson|white|seagreen
lc,2,lightskyblue,gold,lightskyblue|gold
li,2,crimson,midnightblue,crimson|midnightblue
lk,4,goldenrod,brown,brown|goldenrod|darkslategray|darkorange
lr,3,firebrick,white,firebrick|white|midnightblue
ls,3,white,darkblue,darkblue|white|forestgreen
lt,3,firebrick,darkslategray,firebrick|darkslategray|orange
lu,3,white,crimson,white|crimson|deepskyblue
lv,2,brown,white,brown|white
ly,3,black,seagreen,seagreen|black|red
ma,1,firebrick,firebrick,firebrick
mc,2,crimson,white,crimson|white
md,3,crimson,teal,gold|teal|crimson
me,2,firebrick,goldenrod,firebrick|goldenrod
mf,3,crimson,white,white|crimson|darkblue
mg,3,white,forestgreen,forestgreen|white|tomato
mh,3,midnightblue,white,midnightblue|white|chocolate
mk,2,crimson,gold,crimson|gold
ml,3,gold,limegreen,gold|limegreen|crimson
mm,4,gold,crimson,limegreen|gold|crimson|white
mn,3,crimson,darkcyan,darkcyan|crimson|gold
mo,2,teal,white,teal|white
mp,2,darkcyan,white,darkcyan|white
mq,2,darkslateblue,white,white|darkslateblue
mr,2,darkgreen,crimson,darkgreen|crimson
ms,3,midnightblue,snow,midnightblue|snow|crimson
mt,2,crimson,white,white|crimson
mu,4,midnightblue,crimson,midnightblue|crimson|gold|seagreen
mv,2,crimson,forestgreen,crimson|forestgreen
mw,3,crimson,forestgreen,forestgreen|crimson|black
mx,3,darkslategray,crimson,darkslategray|white|crimson
my,3,white,red,red|white|navy
mz,4,gold,teal,crimson|black|gold|teal
na,4,forestgreen,midnightblue,midnightblue|crimson|white|forestgreen
nc,4,forestgreen,mediumblue,gold|forestgreen|tomato|mediumblue
ne,3,orangered,forestgreen,forestgreen|white|orangered
nf,2,forestgreen,white,forestgreen|white
