country_or_territory,zone,region,subregion,life_expectancy,fertility_rate,num_colors,primary_color,secondary_color,most_ranked_color,currency_primary,currency_secondary,languages_primary,languages_secondary,religion_primary,religion_secondary,pop2023,density,hdiTier,area,landAreaKm,growthRate,hdi2021,densityMi,country_or_territory_status
Afghanistan,NE,Asia,Southern Asia,60,4,4,forestgreen,black,white,Afghan afghani,Afghan afghani,Turkmen,Dari,Islam,Islam,42239854.0,64.7622,Low,652230.0,652230.0,0.02702,0.478,167.7341,Developing
Aland Islands,NE,Europe,Northern Europe,0,0,3,teal,gold,crimson,Euro,Euro,Swedish,Swedish,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Albania,NE,Europe,Southeast Europe,75,1,2,red,black,black,Albanian lek,Albanian lek,Albanian,Albanian,Christianity,Islam,2832439.0,103.3737,High,28748.0,27400.0,-0.00348,0.796,267.7378,Developing
Algeria,NE,Africa,Northern Africa,75,2,2,white,darkgreen,white,Algerian dinar,Algerian dinar,Arabic,Arabic,Sunni Islam,Christians,45606480.0,19.1484,High,2381741.0,2381741.0,0.01566,0.745,49.5943,Developing
American Samoa,SW,Oceania,Polynesia,0,0,3,navy,white,white,United States dollar,United States dollar,English,Samoan,Christian,Christian,43914.0,219.57,Other,199.0,200.0,-0.00811,0.0,568.6863,Developing
Andorra,NE,Europe,Southern Europe,0,1,3,darkblue,crimson,crimson,Euro,Euro,Catalan,Catalan,Christianity,Catholic Church,80088.0,170.4,Very High,468.0,470.0,0.00331,0.858,441.336,Developed
Angola,SE,Africa,Middle Africa,60,5,2,crimson,black,crimson,Angolan kwanza,Angolan kwanza,Portuguese,Portuguese,Christianity,Islam,36684202.0,29.425,Medium,1246700.0,1246700.0,0.03077,0.586,76.2109,Developing
Anguilla,NW,Americas,Caribbean,0,0,3,midnightblue,white,white,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Other,Other,15899.0,174.7143,Other,91.0,91.0,0.00265,0.0,452.51,Developing
Antarctica,Equator or Greenwich,Antarctic,Other,0,0,2,royalblue,white,white,Other,Other,Other,Other,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Antigua and Barbuda,NW,Americas,Caribbean,80,1,4,crimson,black,white,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Christianity,Christian,94298.0,214.3136,High,442.0,440.0,0.00571,0.788,555.0723,Developing
Argentina,SW,Americas,South America,75,1,2,cornflowerblue,white,white,Argentine peso,Argentine peso,Spanish,Guarani,Christianity,Christian,45773884.0,16.726,Very High,2780400.0,2736690.0,0.00579,0.842,43.3203,Developed
Armenia,NE,Asia,Western Asia,70,1,3,orange,darkblue,red,Armenian dram,Armenian dram,Armenian,Armenian,Christianity,Armenian Apostolic Church,2777970.0,97.5753,High,29743.0,28470.0,-0.0009,0.759,252.7201,Developing
Aruba,NW,Americas,Caribbean,75,1,2,royalblue,gold,gold,Aruban florin,Aruban florin,Dutch,Papiamento,Other,Other,106277.0,590.4278,Other,180.0,180.0,-0.00158,0.0,1529.2079,Developing
Australia,SE,Oceania,Australia and New Zealand,85,1,3,midnightblue,white,white,Australian dollar,Australian dollar,English,English,Christianity,Islam,26439111.0,3.4372,Very High,7692024.0,7692020.0,0.01,0.951,8.9024,Developed
Austria,NE,Europe,Central Europe,80,1,2,crimson,white,white,Euro,Euro,German,German,Christianity,Islam,8958960.0,108.5671,Very High,83871.0,82520.0,0.00216,0.916,281.1889,Developed
Azerbaijan,NE,Asia,Western Asia,65,1,3,darkturquoise,forestgreen,crimson,Azerbaijani manat,Azerbaijani manat,Russian,Azerbaijani,Christianity,Islam,10412651.0,125.991,High,86600.0,82646.0,0.00527,0.745,326.3167,Developing
Bahamas,NE,Americas,Caribbean,70,1,3,teal,black,gold,United States dollar,Bahamian dollar,English,English,Christianity,Christian,412623.0,41.2211,Very High,13943.0,10010.0,0.00644,0.812,106.7626,Developed
Bahrain,NE,Asia,Western Asia,80,1,2,crimson,white,white,Bahraini dinar,Bahraini dinar,Arabic,Arabic,Christianity,Islam,1485509.0,1892.3682,Very High,765.0,785.0,0.00902,0.875,4901.2335,Developed
Bangladesh,NE,Asia,Southern Asia,70,2,2,darkslategray,crimson,crimson,Bangladeshi taka,Bangladeshi taka,Bengali,Bengali,Christianity,Islam,172954319.0,1328.6803,Medium,147570.0,130170.0,0.01033,0.661,3441.2821,Developing
Barbados,NW,Americas,Caribbean,75,1,2,midnightblue,gold,gold,Barbadian dollar,Barbadian dollar,English,English,Christianity,Christianity,281995.0,655.8023,High,430.0,430.0,0.00128,0.79,1698.528,Developing
Belarus,NE,Europe,Eastern Europe,75,1,2,firebrick,forestgreen,forestgreen,Belarusian ruble,Belarusian ruble,Russian,Belarusian,Christianity,Christian,9498238.0,46.794,Very High,207600.0,202980.0,-0.00385,0.808,121.1964,Developed
Belgium,NE,Europe,Western Europe,80,1,3,crimson,gold,crimson,Euro,Euro,French,Dutch,Christianity,Islam,11686140.0,385.9359,Very High,30528.0,30280.0,0.00259,0.937,999.5741,Developed
Belize,NW,Americas,Central America,70,1,3,darkblue,crimson,crimson,Belize dollar,Belize dollar,English,Spanish,Christianity,Folk religions,410825.0,18.0107,Medium,22966.0,22810.0,0.0137,0.683,46.6478,Developing
Benin,NE,Africa,Western Africa,60,5,3,seagreen,gold,crimson,West African CFA franc,West African CFA franc,French,French,Christianity,Islam,13712828.0,121.6107,Low,112622.0,112760.0,0.02696,0.525,314.9718,Developing
Bermuda,NW,Americas,North America,80,1,3,crimson,white,white,Bermudian dollar,Bermudian dollar,English,English,Other,Other,64069.0,1186.463,Other,54.0,54.0,-0.00179,0.0,3072.9391,Developing
Bhutan,NE,Asia,Southern Asia,70,1,3,gold,orangered,white,Indian rupee,Bhutanese ngultrum,Dzongkha,Dzongkha,Christianity,Hinduism,787424.0,20.6456,Medium,38394.0,38140.0,0.00635,0.666,53.4722,Developing
Bolivia,SW,Americas,South America,65,2,3,forestgreen,gold,gold,Bolivian boliviano,Bolivian boliviano,Spanish,Guarani,Christianity,Christian,12388571.0,11.436,Medium,1098581.0,1083300.0,0.01345,0.692,29.6191,Developing
Bosnia and Herzegovina,NE,Europe,Southeast Europe,75,1,2,darkblue,gold,gold,Bosnia and Herzegovina convertible mark,Bosnia and Herzegovina convertible mark,Serbian,Croatian,Christianity,Islam,3210847.0,62.7119,High,51209.0,51200.0,-0.00701,0.78,162.4237,Developing
Botswana,SE,Africa,Southern Africa,65,2,3,cornflowerblue,black,white,Botswana pula,Botswana pula,English,Tswana,Christianity,Christian,2675352.0,4.7207,Medium,582000.0,566730.0,0.01713,0.693,12.2266,Developing
Bouvet Island,NE,Antarctic,Other,0,0,3,crimson,midnightblue,white,Other,Other,Norwegian,Norwegian,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Brazil,SW,Americas,South America,75,1,3,forestgreen,gold,gold,Brazilian real,Brazilian real,Portuguese,Portuguese,Christianity,Christian,216422446.0,25.8936,High,8515767.0,8358140.0,0.00515,0.754,67.0645,Developing
British Indian Ocean Territory,SE,Africa,Eastern Africa,0,0,3,white,midnightblue,white,United States dollar,United States dollar,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
British Virgin Islands,NW,Americas,Caribbean,75,0,3,midnightblue,white,white,United States dollar,United States dollar,English,English,Other,Other,31538.0,210.2533,Other,151.0,150.0,0.00744,0.0,544.5561,Developing
